id,sentence,coarse,fine,pol,asp
246,Two experimental studies are made for each influence factor from existing architectures.,Structuring,Structuring.Summary,,
247,"Another attack strategy aiming at smoothing the loss surface is proposed, an experimental evaluation shows the effectiveness of the proposed method.",Structuring,Structuring.Summary,,
248,Pros,Structuring,Structuring.Heading,,
249,-the proposed experimental studies can be interesting to the community,Evaluative,Evaluative,P-Positive,Originality
250,-many interesting illustrations are provided.,Evaluative,Evaluative,P-Positive,Substance
251,Cons,Structuring,Structuring.Heading,,
252,"-The conclusions of the study were suggested by previous papers or are rather expected: adversarial transfer is not symmetric: Deep models less transferable than shallow ones, averaging gradient is better",Evaluative,Evaluative,U-Neutral,Originality
253,-I find the experimental studies a bit limited and I would expect larger studies which would have improve the interest of the paper.,Evaluative,Evaluative,N-Negative,Substance
254,"-Only two influence factors are studied, again the paper would be more interesting with a more general study",Evaluative,Evaluative,N-Negative,Substance
255,The paper has an interesting potential but seems a bit limited in its present form.,Evaluative,Evaluative,N-Negative,Substance
256,Problem and contribution:,Structuring,Structuring.Heading,,
257,The paper studies if the Visual Question answering model “FILM” from Perez et al (2018) is able to decide if “most” of the objects have a certain attribute or color.,Structuring,Structuring.Summary,,
258,For this it tries to mimic the setup used to test human abilities in the study by Pietroski et al. (2009).,Structuring,Structuring.Summary,,
259,The main contribution of this is work is a discussion of how a model could solve the problem of deciding “most” and the study which shows that the studied model has some ability to do this.,Structuring,Structuring.Summary,,
260,From this the paper concludes that the model is likely to have some approximate number system.,Structuring,Structuring.Summary,,
261,Strengths:,Structuring,Structuring.Heading,,
262,"1.	The paper looks at a new angle to study and characterize CNN models in general, and VQA models in particular by looking into the psycholinguistic literature experimental setup studied with human subjects.",Evaluative,Evaluative,P-Positive,Originality
263,"2.	The paper studies different variants of controlling for different factors (e.g. pairing data points, area used, different training data and pre-trained vs. trained from scratch CNN models)",Evaluative,Evaluative,P-Positive,Substance
264,3.	It is interesting to see that the models performance reasonably aligns with the curve predicted by “Weber’s law”.,Evaluative,Evaluative,P-Positive,Substance
265,Weaknesses:,Structuring,Structuring.Heading,,
266,"4.	Number of objects vs. ratios is not disentangled: While the paper clarifies that not only a smaller number of objects are used, it would be interesting to understand if similar conclusions hold if only the same number or about the same number of total objects are used but the ratios change (at least for more extreme ratios, 1:2, this seems to be the case as they achieve 100% accuracy).",Evaluative,Evaluative,N-Negative,Substance
267,5.,Evaluative,Evaluative,N-Negative,Substance
268,"The paper only focusses on a single VQA model (FILM) which limits the understanding if this observation is specific to this model; what about other models such as the one from Hudson & Manning (2018), or Relation Networks (Santoro et al) or even simpler baselines: A system which two attention mechanisms (without normalizations) which are sum pooled and then compared would sort of explicitly encode the idea of the APN system.",,,,
269,It would be valuable to compare them to see how different systems (can) solve this task.,Request,Request.Experiment,N-Negative,Substance
270,I would expect that the architecture favors certain capabilities; e.g. Relation Networks might lead more to a paring-based strategy. Or Zhang et al. (2018) might be able to exploit explicit counting to solve the task.,Fact,Fact,,
271,6.	The “most” ability or APN ability seems to be highly related to accumulation in neural networks.,Fact,Fact,,
272,The paper FiLM uses global max-pooling and I am wondering if this affect this ability.,Evaluative,Evaluative,N-Negative,Soundness/Correctness
273,7.	The study is only performed on symbols which a very large training set (given the difficulty of the problem) and it not clear how well this generalizes to real images or scenarios with less training data.,Evaluative,Evaluative,N-Negative,Soundness/Correctness
274,7.1.,Other,Other,,
275,"Maybe beyond the scope of this work, but it would be interesting to understand how much training data different models need to obtain this capability.",,,,
276,"8.	For evaluation: Are there distractors, i.e. elements which don’t belong to set A or B? If not, how would distractors affect it.",Request,Request.Clarification,N-Negative,Substance
277,9.	Clarity:,Structuring,Structuring.Summary,,
278,9.1.,Request,Request.Edit,N-Negative,Clarity
279,The equation between equation (1) and (2) misses a number [I will call it 1.5 for now],,,,
280,9.2.	In formula (1.5) “<=>” seems to be used at different levels (?) it would be good to use brackets to make clear which level “<=>” refers to.,Request,Request.Edit,N-Negative,Clarity
281,Minor:,Structuring,Structuring.Heading,,
282,10.	The title suggests that the paper studies multiple VQA models but only a single model is studied.,Request,Request.Edit,N-Negative,Clarity
283,Conclusion:,Structuring,Structuring.Heading,,
284,"The paper looks into an interesting direction to study CNN models but has some limitations including studying only a single VQA model type, limited to artificially generated images.",Evaluative,Evaluative,N-Negative,Substance
286,- The finding that SVHN has larger likelihood than CIFAR according to networks is interesting.,Evaluative,Evaluative,P-Positive,Motivation/Impact
287,"- The empirical and theoretical analyses are clear, seem thorough, and make sense.",Evaluative,Evaluative,P-Positive,Clarity
288,- Section 5 can provide some insight when the model is too rigid and too log-concave (e.g. Gaussian).,Evaluative,Evaluative,P-Positive,Substance
290,"- The premises of the analyses are not very convincing, limiting the significance of the paper.",Evaluative,Evaluative,N-Negative,Replicability
